127.0.0.1 - - [22/Aug/2024:19:15:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:15:57 +0900] "GET /recycle/WEB-INF/views/index.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/ HTTP/1.1" 200 5584
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/css/main.css HTTP/1.1" 200 56327
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/images/noah.jpg HTTP/1.1" 200 855750
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/js/jquery.dropotron.min.js HTTP/1.1" 200 5107
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/js/browser.min.js HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/js/breakpoints.min.js HTTP/1.1" 200 2440
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:08 +0900] "GET /recycle/resources/js/main.js HTTP/1.1" 200 1461
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:09 +0900] "GET /recycle/resources/css/images/bg01.png HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:09 +0900] "GET /recycle/resources/css/images/bg02.png HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:16:09 +0900] "GET /recycle/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/quiz HTTP/1.1" 200 13929
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/%EB%9A%9C%EA%BB%91.jfif HTTP/1.1" 200 53014
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/%EC%9E%A5%EB%8F%85%EB%8C%80.jpg HTTP/1.1" 200 58462
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/toothbrush_img.png HTTP/1.1" 200 359359
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/%EA%B9%A8%EC%A7%84%EC%9C%A0%EB%A6%AC%EB%B3%91.jpg HTTP/1.1" 200 144038
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/%ED%94%84%EB%A7%81%EA%B8%80%EC%8A%A4-%ED%86%B5.jpg HTTP/1.1" 200 39601
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/styrofoam_img.png HTTP/1.1" 200 348626
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/bbogbbog_img.png HTTP/1.1" 200 154262
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/mirror_img.png HTTP/1.1" 200 94904
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/pet_img.png HTTP/1.1" 200 230441
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:19:46 +0900] "GET /recycle/resources/images/smhrd_img.jpg HTTP/1.1" 200 1870392
0:0:0:0:0:0:0:1 - - [22/Aug/2024:19:21:49 +0900] "GET /recycle/quiz HTTP/1.1" 200 13929
